,genre,anime_count
0,"[""'Hentai'""]",946
1,"[""'Music'""]",695
2,"[""'Comedy'""]",623
3,"[""'Kids'""]",406
4,"[""'Kids'"", ""'Music'""]",343
5,"[""'Comedy'"", ""'Slice of Life'""]",266
6,"[""'Dementia'""]",201
7,"[""'Slice of Life'""]",188
8,"[""'Fantasy'"", ""'Kids'""]",163
9,"[""'Fantasy'""]",146
10,"[""'Comedy'"", ""'Kids'""]",139
11,"[""'Drama'""]",135
12,"[""'Drama'"", ""'Kids'""]",124
13,"[""'Comedy'"", ""'Parody'""]",123
14,"[""'Adventure'"", ""'Kids'""]",89
15,"[""'Adventure'"", ""'Fantasy'""]",88
16,"[""'Adventure'""]",87
17,"[""'Action'"", ""'Mecha'"", ""'Sci-Fi'""]",87
18,"[""'Historical'""]",85
19,"[""'Comedy'"", ""'Fantasy'"", ""'Kids'""]",84
20,"[""'Dementia'"", ""'Music'""]",80
21,"[""'Drama'"", ""'Historical'""]",74
22,"[""'Adventure'"", ""'Fantasy'"", ""'Kids'""]",73
23,"[""'Comedy'"", ""'School'"", ""'Slice of Life'""]",71
24,"[""'Sci-Fi'""]",59
25,"[""'Action'""]",59
26,"[""'Sports'""]",57
27,"[""'Comedy'"", ""'Music'""]",51
28,"[""'Comedy'"", ""'Sci-Fi'""]",51
29,"[""'Adventure'"", ""'Comedy'"", ""'Kids'""]",47
30,"[""'Comedy'"", ""'Fantasy'""]",46
31,"[""'Adventure'"", ""'Comedy'""]",44
32,"[""'Action'"", ""'Sci-Fi'""]",43
33,"[""'Comedy'"", ""'Seinen'"", ""'Slice of Life'""]",42
34,"[""'Action'"", ""'Adventure'"", ""'Fantasy'""]",41
35,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'""]",40
36,"[""'Comedy'"", ""'Sports'""]",40
37,"[""'Action'"", ""'Adventure'"", ""'Sci-Fi'""]",39
38,"[""'Kids'"", ""'Slice of Life'""]",38
39,"[""'Historical'"", ""'Kids'""]",38
40,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Kids'""]",37
41,"[""'Comedy'"", ""'School'""]",36
42,"[""'Action'"", ""'Fantasy'""]",36
43,"[""'Comedy'"", ""'School'"", ""'Seinen'"", ""'Slice of Life'""]",36
44,"[""'Adventure'"", ""'Sci-Fi'""]",35
45,"[""'Mecha'"", ""'Sci-Fi'""]",35
46,"[""'Fantasy'"", ""'Music'""]",34
47,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Mystery'"", ""'Seinen'""]",34
48,"[""'Hentai'"", ""'School'""]",33
49,"[""'Action'"", ""'Comedy'""]",32
50,"[""'Adventure'"", ""'Comedy'"", ""'Mystery'"", ""'Police'"", ""'Shounen'""]",32
51,"[""'Drama'"", ""'Romance'""]",32
52,"[""'Shounen'"", ""'Sports'""]",32
53,"[""'Comedy'"", ""'Romance'""]",31
54,"[""'Drama'"", ""'Slice of Life'""]",31
55,"[""'Comedy'"", ""'Shounen'""]",29
56,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Magic'""]",29
57,"[""'Adventure'"", ""'Mecha'"", ""'Sci-Fi'"", ""'Shounen'""]",28
58,"[""'Comedy'"", ""'School'"", ""'Shounen'"", ""'Sports'""]",28
59,"[""'Game'""]",28
60,"[""'Comedy'"", ""'Sci-Fi'"", ""'Shounen'""]",27
61,"[""'Ecchi'""]",27
62,"[""'Drama'"", ""'Music'""]",27
63,"[""'Mystery'""]",26
64,"[""'Music'"", ""'Slice of Life'""]",26
65,"[""'Comedy'"", ""'Kids'"", ""'Slice of Life'""]",26
66,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Kids'""]",25
67,"[""'Comedy'"", ""'Parody'"", ""'Super Power'""]",25
68,"[""'Comedy'"", ""'Ecchi'""]",25
69,"[""'Action'"", ""'Shounen'"", ""'Sports'""]",24
70,"[""'Music'"", ""'School'"", ""'Slice of Life'""]",23
71,"[""'Comedy'"", ""'Fantasy'"", ""'Parody'""]",23
72,"[""'Action'"", ""'Adventure'"", ""'Mecha'"", ""'Sci-Fi'""]",23
73,"[""'Comedy'"", ""'Supernatural'""]",23
74,"[""'Comedy'"", ""'Drama'"", ""'Shounen'"", ""'Sports'""]",22
75,"[""'Kids'"", ""'Sports'""]",22
76,"[""'Comedy'"", ""'School'"", ""'Shounen'"", ""'Slice of Life'""]",22
77,"[""'Kids'"", ""'Sci-Fi'""]",22
78,"[""'Action'"", ""'Mecha'""]",22
79,"[""'Comedy'"", ""'Historical'""]",22
80,"[""'Action'"", ""'Sci-Fi'"", ""'Super Power'""]",21
81,"[""'Comedy'"", ""'Magic'""]",21
82,"[""'Comedy'"", ""'Seinen'""]",21
83,"[""'Supernatural'""]",21
84,"[""'Comedy'"", ""'Romance'"", ""'School'""]",21
85,"[""'Action'"", ""'Mecha'"", ""'Sci-Fi'"", ""'Shounen'""]",20
86,"[""'Action'"", ""'Fantasy'"", ""'Supernatural'""]",20
87,"[""'Action'"", ""'Drama'"", ""'Mecha'"", ""'Military'"", ""'Sci-Fi'""]",20
88,"[""'Comedy'"", ""'Magic'"", ""'Shoujo'""]",20
89,"[""'Cars'"", ""'Kids'""]",20
90,"[""'Action'"", ""'Comedy'"", ""'Shounen'"", ""'Sports'""]",20
91,"[""'School'""]",20
92,"[""'Action'"", ""'Drama'"", ""'Mecha'"", ""'Military'"", ""'Sci-Fi'"", ""'Space'""]",20
93,"[""'Comedy'"", ""'Fantasy'"", ""'Magic'""]",19
94,"[""'Magic'""]",19
95,"[""'Comedy'"", ""'Romance'"", ""'Slice of Life'""]",19
96,"[""'Action'"", ""'Adventure'""]",19
97,"[""'Horror'""]",19
98,"[""'Comedy'"", ""'Parody'"", ""'School'""]",19
99,"[""'Drama'"", ""'Historical'"", ""'Kids'""]",19
100,"[""'Sci-Fi'"", ""'Space'""]",19
101,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Kids'"", ""'Shounen'""]",18
102,"[""'Drama'"", ""'Romance'"", ""'School'""]",18
103,"[""'Drama'"", ""'Historical'"", ""'Slice of Life'""]",18
104,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Shounen'""]",18
105,"[""'Harem'"", ""'Hentai'""]",18
106,"[""'Comedy'"", ""'Fantasy'"", ""'Slice of Life'""]",18
107,"[""'Kids'"", ""'Magic'""]",18
108,"[""'Kids'"", ""'Music'"", ""'Slice of Life'""]",18
109,"[""'Romance'"", ""'School'"", ""'Shoujo'""]",18
110,"[""'Action'"", ""'Fantasy'"", ""'Magic'"", ""'Supernatural'""]",17
111,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Magic'"", ""'Shounen'""]",17
112,"[""'Music'"", ""'Sci-Fi'""]",17
113,"[""'Comedy'"", ""'Shounen'"", ""'Slice of Life'""]",17
114,"[""'Music'"", ""'Romance'""]",17
115,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Fantasy'""]",17
116,"[""'Adventure'"", ""'Drama'""]",17
117,"[""'Mecha'""]",17
118,"[""'Action'"", ""'Mecha'"", ""'Sci-Fi'"", ""'Space'""]",17
119,"[""'Action'"", ""'Music'""]",17
120,"[""'Fantasy'"", ""'Historical'""]",16
121,"[""'Fantasy'"", ""'Game'""]",16
122,"[""'Hentai'"", ""'Yuri'""]",16
123,"[""'Action'"", ""'Fantasy'"", ""'Magic'"", ""'Shoujo'""]",16
124,"[""'Comedy'"", ""'Shounen'"", ""'Sports'""]",16
125,"[""'Comedy'"", ""'Romance'"", ""'School'"", ""'Slice of Life'""]",16
